athlete_id,athlete_name,gender,age,country_code,country,continent,year,city,host_country,season,sport,event,medal
1,Marco Davis,M,20,CUB,Cuba,North America,1996,Atlanta,USA,Summer,Weightlifting,56kg,Bronze
2,Sarah Miller,F,17,SVK,Slovakia,Europe,2010,Vancouver,Canada,Winter,Curling,Curling Team,Gold
3,Darius Green,M,38,CZE,Czech Republic,Europe,1936,Garmisch,Germany,Winter,Curling,Curling Individual,Silver
4,Ahmed Rodriguez,M,38,USA,United States,North America,1936,Garmisch,Germany,Winter,Skeleton,Skeleton Mass Start,Silver
5,John Lewis,M,28,FRA,France,Europe,1928,Amsterdam,Netherlands,Summer,Rowing,Eight,Silver
6,Robert Adams,M,28,SUI,Switzerland,Europe,1992,Albertville,France,Winter,Speed Skating,Speed Skating Individual,Silver
7,Robert Williams,M,38,ROM,Romania,Europe,2022,Beijing,China,Winter,Freestyle Skiing,Freestyle Skiing Super-G,Bronze
8,Yuki Garcia,M,19,AUS,Australia,Oceania,1936,Garmisch,Germany,Winter,Ski Jumping,Ski Jumping Mass Start,Silver
9,Katarina Garcia,F,22,ESP,Spain,Europe,1996,Atlanta,USA,Summer,Volleyball,Volleyball,Bronze
10,Marco Martin,M,33,TUR,Turkey,Asia,2002,Salt Lake City,USA,Winter,Freestyle Skiing,Freestyle Skiing Team,Gold
11,Carlos Brown,M,37,AUT,Austria,Europe,1976,Montreal,Canada,Summer,Basketball,3x3 Basketball,Gold
12,Lars Clark,M,34,GER,Germany,Europe,2020,Tokyo,Japan,Summer,Swimming,100m Butterfly,Gold
13,Fatima Moore,F,20,POR,Portugal,Europe,1998,Nagano,Japan,Winter,Skeleton,Skeleton Downhill,Gold
14,Ingrid Lee,F,34,BRA,Brazil,South America,2010,Vancouver,Canada,Winter,Curling,Curling Giant Slalom,Gold
15,David Anderson,M,19,AUS,Australia,Oceania,1924,Chamonix,France,Winter,Curling,Curling Slalom,Bronze
16,Sofia Scott,F,35,RSA,South Africa,Africa,1972,Munich,Germany,Summer,Canoe,Canoe Sprint,Silver
17,Svetlana Rodriguez,F,40,AZE,Azerbaijan,Europe,1988,Seoul,South Korea,Summer,Athletics,4x100m Relay,Gold
18,Marco Thompson,M,39,SUI,Switzerland,Europe,1952,Oslo,Norway,Winter,Luge,Luge Sprint,Bronze
19,Aisha Carter,F,36,AUT,Austria,Europe,2012,London,Great Britain,Summer,Boxing,91kg,Gold
20,Carlos Lopez,M,35,IRN,Iran,Asia,1928,Amsterdam,Netherlands,Summer,Volleyball,Volleyball,Gold
21,Mohammed Miller,M,23,CUB,Cuba,North America,1924,Paris,France,Summer,Volleyball,Beach Volleyball,Gold
22,Sven Wright,M,20,IRN,Iran,Asia,2008,Beijing,China,Summer,Badminton,Singles,Bronze
23,Rebecca Jackson,F,22,TUR,Turkey,Asia,1928,St. Moritz,Switzerland,Winter,Speed Skating,Speed Skating Giant Slalom,Bronze
24,Yuna Harris,F,19,FIN,Finland,Europe,1956,Melbourne,Australia,Summer,Basketball,3x3 Basketball,Gold
25,Robert Brown,M,16,SVK,Slovakia,Europe,1960,Rome,Italy,Summer,Athletics,Javelin Throw,Gold
26,Rebecca Moore,F,22,USA,United States,North America,1908,London,Great Britain,Summer,Swimming,100m Butterfly,Bronze
27,Lucia Jackson,F,41,CUB,Cuba,North America,1988,Calgary,Canada,Winter,Snowboard,Snowboard Slalom,Gold
28,Chiara Brown,F,30,DEN,Denmark,Europe,1920,Antwerp,Belgium,Summer,Football,Football,Bronze
29,Nina Davis,F,39,RUS,Russia,Europe,1998,Nagano,Japan,Winter,Freestyle Skiing,Freestyle Skiing Team,Gold
30,Thomas Garcia,M,29,FIN,Finland,Europe,1932,Lake Placid,USA,Winter,Figure Skating,Figure Skating Giant Slalom,Silver
31,Darius Green,M,17,CZE,Czech Republic,Europe,1948,London,Great Britain,Summer,Gymnastics,Team,Gold
32,Kim Hall,F,31,BEL,Belgium,Europe,1912,Stockholm,Sweden,Summer,Cycling,Sprint,Gold
33,Sofia Martinez,F,41,RSA,South Africa,Africa,1928,St. Moritz,Switzerland,Winter,Luge,Luge Individual,Silver
34,Peter Brown,M,25,KOR,South Korea,Asia,2004,Athens,Greece,Summer,Archery,Team Compound,Bronze
35,Mohammed Wright,M,17,JAM,Jamaica,North America,2010,Vancouver,Canada,Winter,Curling,Curling Individual,Bronze
36,Robert Carter,M,21,RUS,Russia,Europe,2024,Paris,France,Summer,Table Tennis,Singles,Gold
37,Steven Nelson,M,34,NZL,New Zealand,Oceania,2002,Salt Lake City,USA,Winter,Cross-Country Skiing,Cross-Country Skiing Pursuit,Bronze
38,Kim Clark,F,24,BEL,Belgium,Europe,1904,St. Louis,USA,Summer,Canoe,Canoe Sprint,Gold
39,Nina Jones,F,30,COL,Colombia,South America,1948,St. Moritz,Switzerland,Winter,Luge,Luge Sprint,Gold
40,Mark Moore,M,32,GER,Germany,Europe,1976,Montreal,Canada,Summer,Canoe,Canoe Sprint,Silver
41,Alexei Robinson,M,30,ETH,Ethiopia,Africa,1908,London,Great Britain,Summer,Cycling,Omnium,Bronze
42,Anna Moore,F,37,USA,United States,North America,2018,PyeongChang,South Korea,Winter,Freestyle Skiing,Freestyle Skiing Giant Slalom,Silver
43,Kim Rodriguez,F,35,KEN,Kenya,Africa,1924,Paris,France,Summer,Weightlifting,63kg,Gold
44,Emma Miller,F,24,ARG,Argentina,South America,2002,Salt Lake City,USA,Winter,Freestyle Skiing,Freestyle Skiing Mass Start,Bronze
45,Maria Thompson,F,40,USA,United States,North America,1972,Munich,Germany,Summer,Shooting,10m Air Rifle,Gold
46,Sarah Wilson,F,33,KAZ,Kazakhstan,Asia,2010,Vancouver,Canada,Winter,Skeleton,Skeleton Giant Slalom,Gold
47,David Williams,M,29,RUS,Russia,Europe,2004,Athens,Greece,Summer,Wrestling,Greco-Roman 87kg,Silver
48,Diego Adams,M,27,USA,United States,North America,1964,Tokyo,Japan,Summer,Swimming,200m Butterfly,Silver
